type,xcor,ycor,id
Retailer,6.890676461393014,8.958170632598922,1
Retailer,1.7204710354562849,7.43834442878142,2
Retailer,-16.035564759280533,-14.84929396212101,3
Retailer,10.846350128296763,3.9784609973430634,4
Retailer,16.350304582854733,15.683221660321578,5
Consumer,11.58539458363449,-0.13587032747457783,6
Consumer,11.640779006932974,0.30826036574395843,7
Consumer,9.660387884515984,1.0326417604750482,8
Consumer,11.695816722064158,-0.6827967785550335,9
Consumer,11.299776788754468,-0.22626052350933534,10
Consumer,11.474403662533739,-0.326866866435374,11
Consumer,11.650101487017395,-0.4809261907653948,12
Consumer,10.889215061584643,3.812095905950706,13
Consumer,11.863679888499597,-0.6280076585485777,14
Consumer,11.558313338214425,-0.48135608757355186,15
Producer,-14.685912898974493,-9.09316735365428,16
Producer,7.5798569053877145,11.252314717043191,17
Producer,0.4670884993392974,-2.086829321924597,18
Producer,-6.678993764100596,6.363742486573756,19
Producer,-3.8853746415115893,-9.332957613514736,20
Producer,-9.25918410345912,2.5963720337022096,21
Producer,14.576526239980012,13.70410750200972,22
Producer,6.557901228312403,-12.72948431968689,23
Producer,-1.78273859876208,-3.884350696345791,24
Producer,2.1017214248422533,-15.087101994082332,25
Distributor,16.388972132797335,15.64642711856937,26
Distributor,-14.779742787511843,13.934846275492365,27
Distributor,-12.045067169298045,-12.87431585793734,28
Distributor,-15.883242579845406,14.966244536074512,29
Distributor,-13.338142109723158,12.587627890641375,30
Distributor,-15.844184626489254,14.9297706150248,31
Distributor,16.403281798247555,15.632999135342217,32
Distributor,-16.400778112250105,15.436706386897946,33
Distributor,-14.741376970570764,13.899124384045798,34
Distributor,-16.333116516228362,15.375361969886665,35
Work,11.626075370935723,-0.4688684076536447,0
