type,xcor,ycor,id
Retailer,6.890676461393014,8.958170632598922,1
Retailer,1.7204710354562849,7.43834442878142,2
Retailer,-16.035564759280533,-14.84929396212101,3
Retailer,10.846350128296763,3.9784609973430634,4
Retailer,16.350304582854733,15.683221660321578,5
Consumer,11.015615734375409,4.858345616602037,6
Consumer,13.3023719238006,3.473907974395509,7
Consumer,11.624558681959158,-0.460219717593791,8
Consumer,11.575298556565599,-0.17870563241209325,9
Consumer,11.626048718786517,-0.4687163901954463,10
Consumer,11.6001454690566,-0.32291702339942674,11
Consumer,11.54253334169713,0.007724935925818244,12
Consumer,14.96079932220777,-0.9816221202248663,13
Consumer,13.252574104725543,-1.2659170869855316,14
Consumer,8.642330858751954,-0.7547362870654979,15
Producer,-14.685912898974493,-9.09316735365428,16
Producer,7.5798569053877145,11.252314717043191,17
Producer,0.4670884993392974,-2.086829321924597,18
Producer,-6.678993764100596,6.363742486573756,19
Producer,-3.8853746415115893,-9.332957613514736,20
Producer,-9.25918410345912,2.5963720337022096,21
Producer,14.576526239980012,13.70410750200972,22
Producer,6.557901228312403,-12.72948431968689,23
Producer,-1.78273859876208,-3.884350696345791,24
Producer,2.1017214248422533,-15.087101994082332,25
Distributor,-7.641962209261841,6.2318639242384535,26
Distributor,-10.295107609822793,5.944205367399292,27
Distributor,-8.314829182659047,6.265185720562382,28
Distributor,-10.292109615732551,5.942041810640365,29
Distributor,-9.795531830205984,6.021222555816074,30
Distributor,-6.462447307658103,6.160947839207886,31
Distributor,14.649596061400295,4.6611810027669165,32
Distributor,-8.137389191921827,6.164005769618555,33
Distributor,-11.768930601157589,5.695163289091475,34
Distributor,-8.320438828360984,6.269927474021493,35
Work,11.626075370935723,-0.4688684076536447,0
