type,xcor,ycor,id
Retailer,6.890676461393014,8.958170632598922,1
Retailer,1.7204710354562849,7.43834442878142,2
Retailer,-16.035564759280533,-14.84929396212101,3
Retailer,10.846350128296763,3.9784609973430634,4
Retailer,16.350304582854733,15.683221660321578,5
Consumer,10.966604175476142,3.3089951896060583,6
Consumer,11.58175249412433,-0.21248996142290366,7
Consumer,11.249751999634832,-0.18141001336843132,8
Consumer,11.695816722064158,-0.6827967785550335,9
Consumer,11.299776788754468,-0.22626052350933534,10
Consumer,11.474403662533739,-0.326866866435374,11
Consumer,11.472721547570288,0.5032162567907221,12
Consumer,11.56773653218685,-0.1299351205547694,13
Consumer,11.863679888499597,-0.6280076585485777,14
Consumer,11.558313338214425,-0.48135608757355186,15
Producer,-14.685912898974493,-9.09316735365428,16
Producer,7.5798569053877145,11.252314717043191,17
Producer,0.4670884993392974,-2.086829321924597,18
Producer,-6.678993764100596,6.363742486573756,19
Producer,-3.8853746415115893,-9.332957613514736,20
Producer,-9.25918410345912,2.5963720337022096,21
Producer,14.576526239980012,13.70410750200972,22
Producer,6.557901228312403,-12.72948431968689,23
Producer,-1.78273859876208,-3.884350696345791,24
Producer,2.1017214248422533,-15.087101994082332,25
Distributor,-9.232120565017816,9.563586914294582,26
Distributor,-12.332755601593274,13.477753333946573,27
Distributor,-7.652177850272746,7.581976581677434,28
Distributor,-11.408209283538563,12.309727131443523,29
Distributor,-13.592191797026484,15.06547086393143,30
Distributor,-11.37227816757475,12.270770502499147,31
Distributor,-7.976087904627253,7.982325709376397,32
Distributor,-9.683945301954115,10.099832688526003,33
Distributor,-12.298115016314462,13.439059356612127,34
Distributor,-9.62046155050451,10.034939853672078,35
Work,11.626075370935723,-0.4688684076536447,0
